primal_vertex_tag,dual_quadrangle_element_tag,primal_face_index
885,1049,350
754,1050,350
1053,1051,351
1273,1052,351
605,1053,351
435,1054,352
1154,1055,352
923,1056,352
963,1057,353
1287,1058,353
1221,1059,353
93,1060,354
901,1061,354
99,1062,354
1078,1063,355
1080,1064,355
680,1065,355
992,1066,356
1312,1067,356
920,1068,356
981,1069,357
1178,1070,357
320,1071,357
397,1072,358
886,1073,358
345,1074,358
917,1075,359
1257,1076,359
849,1077,359
578,1078,360
1321,1079,360
1075,1080,360
879,1081,361
880,1082,361
829,1083,361
872,1084,362
873,1085,362
621,1086,362
702,1087,363
992,1088,363
601,1089,363
653,1090,364
1228,1091,364
608,1092,364
822,1093,365
823,1094,365
343,1095,365
138,1096,366
1225,1097,366
1068,1098,366
684,1099,367
1270,1100,367
1120,1101,367
543,1102,368
1004,1103,368
927,1104,368
874,1105,369
875,1106,369
255,1107,369
825,1108,370
826,1109,370
229,1110,370
252,1111,371
874,1112,371
255,1113,371
224,1114,372
825,1115,372
229,1116,372
223,1117,373
809,1118,373
230,1119,373
246,1120,374
872,1121,374
249,1122,374
402,1123,375
1297,1124,375
830,1125,375
206,1126,376
885,1127,376
204,1128,376
242,1129,377
876,1130,377
241,1131,377
199,1132,378
884,1133,378
296,1134,378
320,1135,379
1289,1136,379
981,1137,379
821,1138,380
822,1139,380
269,1140,380
954,1141,381
1113,1142,381
321,1143,381
622,1144,382
888,1145,382
887,1146,382
622,1147,383
887,1148,383
201,1149,383
285,1150,384
891,1151,384
203,1152,384
348,1153,385
968,1154,385
443,1155,385
243,1156,386
832,1157,386
356,1158,386
187,1159,387
821,1160,387
269,1161,387
832,1162,388
833,1163,388
356,1164,388
228,1165,389
879,1166,389
414,1167,389
878,1168,390
1337,1169,390
944,1170,390
248,1171,391
882,1172,391
247,1173,391
769,1174,392
860,1175,392
772,1176,392
944,1177,393
1335,1178,393
878,1179,393
355,1180,394
1216,1181,394
1148,1182,394
293,1183,395
841,1184,395
207,1185,395
864,1186,396
1333,1187,396
868,1188,396
185,1189,397
837,1190,397
708,1191,397
830,1192,398
1331,1193,398
402,1194,398
837,1195,399
838,1196,399
708,1197,399
844,1198,400
845,1199,400
515,1200,400
862,1201,401
863,1202,401
511,1203,401
1088,1204,402
1089,1205,402
857,1206,402
605,1207,403
1397,1208,403
1053,1209,403
1092,1210,404
1252,1211,404
1190,1212,404
854,1213,405
984,1214,405
471,1215,405
211,1216,406
844,1217,406
515,1218,406
1159,1219,407
1265,1220,407
129,1221,407
443,1222,408
968,1223,408
670,1224,408
831,1225,409
852,1226,409
850,1227,409
651,1228,410
1196,1229,410
1181,1230,410
918,1231,411
1152,1232,411
673,1233,411
231,1234,412
859,1235,412
263,1236,412
194,1237,413
895,1238,413
193,1239,413
1105,1240,414
1318,1241,414
1013,1242,414
831,1243,415
850,1244,415
220,1245,415
255,1246,416
875,1247,416
257,1248,416
327,1249,417
812,1250,417
811,1251,417
651,1252,418
1202,1253,418
650,1254,418
930,1255,419
1319,1256,419
709,1257,419
448,1258,420
891,1259,420
759,1260,420
811,1261,421
814,1262,421
810,1263,421
546,1264,422
881,1265,422
761,1266,422
1181,1267,423
1202,1268,423
651,1269,423
830,1270,424
1297,1271,424
827,1272,424
253,1273,425
798,1274,425
303,1275,425
672,1276,426
1251,1277,426
815,1278,426
928,1279,427
1192,1280,427
290,1281,427
431,1282,428
950,1283,428
429,1284,428
155,1285,429
1316,1286,429
1191,1287,429
482,1288,430
983,1289,430
697,1290,430
261,1291,431
861,1292,431
260,1293,431
376,1294,432
941,1295,432
527,1296,432
269,1297,433
822,1298,433
274,1299,433
1142,1300,434
1210,1301,434
175,1302,434
586,1303,435
913,1304,435
308,1305,435
1039,1306,436
1367,1307,436
129,1308,436
818,1309,437
819,1310,437
161,1311,437
1258,1312,438
1307,1313,438
1083,1314,438
738,1315,439
1408,1316,439
875,1317,439
622,1318,440
889,1319,440
888,1320,440
318,1321,441
921,1322,441
287,1323,441
1004,1324,442
1005,1325,442
927,1326,442
931,1327,443
1057,1328,443
164,1329,443
538,1330,444
1169,1331,444
936,1332,444
462,1333,445
950,1334,445
431,1335,445
829,1336,446
1169,1337,446
828,1338,446
188,1339,447
868,1340,447
190,1341,447
344,1342,448
941,1343,448
376,1344,448
99,1345,449
898,1346,449
92,1347,449
356,1348,450
833,1349,450
358,1350,450
814,1351,451
1234,1352,451
938,1353,451
826,1354,452
1260,1355,452
830,1356,452
334,1357,453
881,1358,453
546,1359,453
92,1360,454
898,1361,454
91,1362,454
572,1363,455
1304,1364,455
1303,1365,455
579,1366,456
1118,1367,456
396,1368,456
88,1369,457
902,1370,457
103,1371,457
985,1372,458
987,1373,458
986,1374,458
126,1375,459
911,1376,459
910,1377,459
125,1378,460
1029,1379,460
816,1380,460
1296,1381,461
1412,1382,461
1173,1383,461
308,1384,462
913,1385,462
304,1386,462
471,1387,463
985,1388,463
854,1389,463
1023,1390,464
1277,1391,464
1024,1392,464
783,1393,465
1324,1394,465
1298,1395,465
796,1396,466
1216,1397,466
355,1398,466
212,1399,467
1290,1400,467
812,1401,467
1173,1402,468
1412,1403,468
817,1404,468
673,1405,469
1122,1406,469
918,1407,469
1024,1408,470
1353,1409,470
1023,1410,470
267,1411,471
903,1412,471
291,1413,471
661,1414,472
912,1415,472
906,1416,472
805,1417,473
1349,1418,473
494,1419,473
471,1420,474
984,1421,474
467,1422,474
743,1423,475
1224,1424,475
1177,1425,475
761,1426,476
881,1427,476
798,1428,476
701,1429,477
1007,1430,477
505,1431,477
1018,1432,478
1244,1433,478
122,1434,478
1150,1435,479
1182,1436,479
926,1437,479
628,1438,480
929,1439,480
476,1440,480
525,1441,481
988,1442,481
986,1443,481
324,1444,482
955,1445,482
843,1446,482
598,1447,483
1389,1448,483
905,1449,483
281,1450,484
924,1451,484
259,1452,484
1154,1453,485
1307,1454,485
1258,1455,485
1191,1456,486
1376,1457,486
155,1458,486
986,1459,487
987,1460,487
525,1461,487
467,1462,488
984,1463,488
360,1464,488
538,1465,489
936,1466,489
353,1467,489
819,1468,490
1296,1469,490
1295,1470,490
1101,1471,491
1309,1472,491
1072,1473,491
1125,1474,492
1381,1475,492
1072,1476,492
275,1477,493
954,1478,493
321,1479,493
909,1480,494
992,1481,494
920,1482,494
1186,1483,495
1213,1484,495
584,1485,495
784,1486,496
1324,1487,496
783,1488,496
643,1489,497
1158,1490,497
1016,1491,497
753,1492,498
904,1493,498
282,1494,498
670,1495,499
1272,1496,499
797,1497,499
852,1498,500
940,1499,500
851,1500,500
925,1501,501
1247,1502,501
805,1503,501
168,1504,502
1396,1505,502
794,1506,502
144,1507,503
1232,1508,503
800,1509,503
181,1510,504
902,1511,504
179,1512,504
886,1513,505
1113,1514,505
954,1515,505
190,1516,506
868,1517,506
867,1518,506
176,1519,507
1208,1520,507
1012,1521,507
59,1522,508
1080,1523,508
60,1524,508
307,1525,509
995,1526,509
314,1527,509
911,1528,510
1383,1529,510
165,1530,510
900,1531,511
1164,1532,511
899,1533,511
471,1534,512
987,1535,512
985,1536,512
572,1537,513
948,1538,513
439,1539,513
323,1540,514
926,1541,514
338,1542,514
860,1543,515
1104,1544,515
775,1545,515
230,1546,516
789,1547,516
733,1548,516
505,1549,517
1007,1550,517
390,1551,517
855,1552,518
985,1553,518
858,1554,518
389,1555,519
983,1556,519
482,1557,519
693,1558,520
1157,1559,520
979,1560,520
138,1561,521
1329,1562,521
1225,1563,521
543,1564,522
934,1565,522
665,1566,522
494,1567,523
925,1568,523
805,1569,523
922,1570,524
1388,1571,524
666,1572,524
353,1573,525
936,1574,525
301,1575,525
796,1576,526
1073,1577,526
642,1578,526
929,1579,527
1192,1580,527
928,1581,527
388,1582,528
1004,1583,528
543,1584,528
99,1585,529
901,1586,529
900,1587,529
1109,1588,530
1293,1589,530
699,1590,530
1283,1591,531
1298,1592,531
741,1593,531
1105,1594,532
1355,1595,532
1318,1596,532
905,1597,533
1389,1598,533
906,1599,533
1297,1600,534
1378,1601,534
827,1602,534
530,1603,535
1127,1604,535
655,1605,535
475,1606,536
1130,1607,536
639,1608,536
1109,1609,537
1311,1610,537
1293,1611,537
476,1612,538
929,1613,538
401,1614,538
263,1615,539
890,1616,539
705,1617,539
374,1618,540
1000,1619,540
434,1620,540
1000,1621,541
1163,1622,541
434,1623,541
521,1624,542
997,1625,542
583,1626,542
956,1627,543
957,1628,543
409,1629,543
584,1630,544
1213,1631,544
523,1632,544
568,1633,545
970,1634,545
969,1635,545
250,1636,546
874,1637,546
252,1638,546
311,1639,547
1278,1640,547
840,1641,547
89,1642,548
902,1643,548
88,1644,548
632,1645,549
996,1646,549
634,1647,549
244,1648,550
872,1649,550
246,1650,550
767,1651,551
860,1652,551
769,1653,551
226,1654,552
825,1655,552
224,1656,552
331,1657,553
1117,1658,553
329,1659,553
403,1660,554
1001,1661,554
405,1662,554
240,1663,555
832,1664,555
243,1665,555
221,1666,556
809,1667,556
223,1668,556
183,1669,557
870,1670,557
181,1671,557
763,1672,558
765,1673,558
764,1674,558
201,1675,559
887,1676,559
202,1677,559
464,1678,560
1156,1679,560
577,1680,560
190,1681,561
867,1682,561
192,1683,561
209,1684,562
885,1685,562
206,1686,562
854,1687,563
985,1688,563
855,1689,563
1257,1690,564
1288,1691,564
849,1692,564
728,1693,565
870,1694,565
387,1695,565
229,1696,566
831,1697,566
222,1698,566
439,1699,567
948,1700,567
371,1701,567
203,1702,568
891,1703,568
200,1704,568
207,1705,569
841,1706,569
208,1707,569
196,1708,570
884,1709,570
199,1710,570
230,1711,571
733,1712,571
225,1713,571
205,1714,572
887,1715,572
292,1716,572
186,1717,573
837,1718,573
185,1719,573
232,1720,574
879,1721,574
228,1722,574
245,1723,575
876,1724,575
242,1725,575
764,1726,576
897,1727,576
762,1728,576
198,1729,577
891,1730,577
448,1731,577
227,1732,578
859,1733,578
231,1734,578
251,1735,579
882,1736,579
248,1737,579
184,1738,580
821,1739,580
187,1740,580
396,1741,581
1118,1742,581
1117,1743,581
738,1744,582
874,1745,582
342,1746,582
927,1747,583
1005,1748,583
588,1749,583
823,1750,584
1164,1751,584
941,1752,584
1108,1753,585
1126,1754,585
613,1755,585
197,1756,586
895,1757,586
194,1758,586
215,1759,587
844,1760,587
211,1761,587
1260,1762,588
1331,1763,588
830,1764,588
668,1765,589
1163,1766,589
1000,1767,589
984,1768,590
1102,1769,590
360,1770,590
140,1771,591
1080,1772,591
59,1773,591
220,1774,592
850,1775,592
218,1776,592
776,1777,593
1017,1778,593
774,1779,593
840,1780,594
1380,1781,594
311,1782,594
941,1783,595
1164,1784,595
527,1785,595
821,1786,596
824,1787,596
822,1788,596
1002,1789,597
1125,1790,597
459,1791,597
686,1792,598
947,1793,598
465,1794,598
386,1795,599
1116,1796,599
678,1797,599
265,1798,600
861,1799,600
261,1800,600
106,1801,601
1402,1802,601
1395,1803,601
312,1804,602
1116,1805,602
386,1806,602
906,1807,603
912,1808,603
299,1809,603
826,1810,604
827,1811,604
229,1812,604
399,1813,605
956,1814,605
409,1815,605
775,1816,606
1104,1817,606
780,1818,606
568,1819,607
969,1820,607
557,1821,607
263,1822,608
705,1823,608
235,1824,608
985,1825,609
986,1826,609
858,1827,609
1072,1828,610
1309,1829,610
1125,1830,610
863,1831,611
864,1832,611
511,1833,611
1045,1834,612
1377,1835,612
730,1836,612
997,1837,613
1110,1838,613
583,1839,613
832,1840,614
834,1841,614
833,1842,614
424,1843,615
965,1844,615
433,1845,615
642,1846,616
1073,1847,616
581,1848,616
484,1849,617
1153,1850,617
707,1851,617
824,1852,618
1334,1853,618
823,1854,618
799,1855,619
950,1856,619
590,1857,619
263,1858,620
1228,1859,620
890,1860,620
304,1861,621
913,1862,621
302,1863,621
939,1864,622
1388,1865,622
922,1866,622
812,1867,623
813,1868,623
811,1869,623
837,1870,624
839,1871,624
838,1872,624
396,1873,625
1117,1874,625
331,1875,625
179,1876,626
902,1877,626
89,1878,626
693,1879,627
979,1880,627
485,1881,627
473,1882,628
997,1883,628
521,1884,628
975,1885,629
993,1886,629
971,1887,629
962,1888,630
1125,1889,630
1002,1890,630
507,1891,631
1263,1892,631
1161,1893,631
932,1894,632
955,1895,632
419,1896,632
423,1897,633
938,1898,633
514,1899,633
360,1900,634
1102,1901,634
359,1902,634
407,1903,635
1002,1904,635
459,1905,635
284,1906,636
924,1907,636
281,1908,636
91,1909,637
898,1910,637
105,1911,637
911,1912,638
998,1913,638
910,1914,638
788,1915,639
1118,1916,639
579,1917,639
886,1918,640
954,1919,640
345,1920,640
299,1921,641
912,1922,641
297,1923,641
409,1924,642
1001,1925,642
403,1926,642
1142,1927,643
1207,1928,643
715,1929,643
829,1930,644
1392,1931,644
1169,1932,644
956,1933,645
1129,1934,645
957,1935,645
685,1936,646
1128,1937,646
625,1938,646
950,1939,647
1136,1940,647
429,1941,647
635,1942,648
996,1943,648
632,1944,648
119,1945,649
1189,1946,649
1084,1947,649
400,1948,650
1130,1949,650
475,1950,650
1100,1951,651
1101,1952,651
713,1953,651
709,1954,652
1319,1955,652
729,1956,652
654,1957,653
1041,1958,653
1040,1959,653
491,1960,654
1127,1961,654
530,1962,654
305,1963,655
881,1964,655
334,1965,655
282,1966,656
904,1967,656
283,1968,656
568,1969,657
975,1970,657
971,1971,657
709,1972,658
1305,1973,658
930,1974,658
786,1975,659
1417,1976,659
102,1977,659
123,1978,660
1373,1979,660
1016,1980,660
90,1981,661
179,1982,661
89,1983,661
628,1984,662
1028,1985,662
929,1986,662
89,1987,663
946,1988,663
945,1989,663
648,1990,664
1314,1991,664
1200,1992,664
588,1993,665
1005,1994,665
550,1995,665
104,1996,666
946,1997,666
88,1998,666
90,1999,667
945,2000,667
106,2001,667
258,2002,668
1330,2003,668
763,2004,668
957,2005,669
1129,2006,669
960,2007,669
905,2008,670
1323,2009,670
598,2010,670
230,2011,671
790,2012,671
789,2013,671
461,2014,672
1156,2015,672
464,2016,672
291,2017,673
968,2018,673
348,2019,673
1116,2020,674
1117,2021,674
678,2022,674
514,2023,675
1234,2024,675
933,2025,675
621,2026,676
892,2027,676
737,2028,676
417,2029,677
1107,2030,677
610,2031,677
234,2032,678
916,2033,678
217,2034,678
264,2035,679
903,2036,679
267,2037,679
77,2038,680
147,2039,680
78,2040,680
3,2041,681
148,2042,681
