diamond_tag,primal_a,primal_b,center_x,center_y,center_z,grad_x,grad_y,grad_z,error_to_exact_surface_gradient
316,78,158,-0.1378318432141086,-0.9542870653339792,0.24245495002732514,-0.7328511428290991,0.24360885585634262,0.5478832737963153,0.06284675209887881
317,78,181,-0.09350501994815844,-0.9209285859025145,0.36467205249117224,-0.7405999415010314,0.04548862472572965,-0.06811193152873035,0.01460567127788764
318,79,80,0.1527271277200325,-0.8765612130535229,0.44128051233588883,-0.3347885921455705,0.010780310341191375,0.13658336223746487,0.03541023782742214
319,79,93,0.2871804064200488,-0.8302041186702529,0.4636111510463735,0.24971876399944082,0.2660589994520144,0.3217997078970636,0.028455782975938294
320,79,94,0.3829616674460722,-0.8419094120026454,0.3624142657962981,0.4090975298535198,0.4931118737059201,0.7096743256381757,0.04031928773960365
321,79,151,0.3442286073905874,-0.8995796623834089,0.24559877431039268,0.16051648357099846,0.36929978906219146,1.117145826507937,0.023041690884955363
322,80,93,0.1830059428891323,-0.8012015464433934,0.5574117101984142,0.15484649162640396,-0.03807051954145407,-0.10547968200989595,0.01747388889094976
323,80,95,0.07231069539659553,-0.756139433258074,0.6397113754695842,0.23158907596652473,-0.3629882868230486,-0.45352997949926377,0.04422271369357054
324,80,97,-0.061682445395316345,-0.7907240895178554,0.5982949676797635,-0.04819659017311251,-0.6271204384074959,-0.8243074720833691,0.03922632090754954
325,80,181,-0.0661371216762043,-0.8647929680450958,0.48746967720692647,-0.43205988327834444,-0.29311617856385536,-0.5692925915112012,0.053710599220384556
326,81,136,0.19541186103415448,-0.869504989828616,-0.4350941313989734,-0.19643244608897642,0.25620870950651453,-0.6113877910789346,0.09261708710750712
327,81,163,-0.08603477868207102,-0.8651708098063103,-0.4819257880605061,-0.3810891101087545,0.0998559600264854,-0.11092668001055685,0.0671727421252579
328,81,167,0.1357003669580892,-0.8208974245398699,-0.543162457988763,-0.18776527872984883,0.5642162385385698,-0.9152431142667874,0.038887136777249184
329,81,190,0.010492364033498094,-0.828988488307493,-0.5511788012102264,-0.2319020633091749,0.3842775761957532,-0.5938791117597271,0.06220407071130676
330,82,125,-0.7467873941025522,0.48785886584684346,0.43958650128479676,-0.04180807333687886,0.6686101559784068,-0.817914499441038,0.04848083218702601
331,82,162,-0.8666507826213166,0.4388353647666653,0.2102254626575085,0.0725809874808326,-0.09547902889160723,0.49517082955124,0.015413457119730755
332,82,164,-0.7310904455587452,0.5781007362836948,0.3452974853958297,0.36855910342829346,0.6097187343099713,-0.24581037380020682,0.019009918673407643
333,82,165,-0.7942958603599789,0.5534831701328932,0.2252199195775484,0.3461184096163906,0.303549672788036,0.4732125001928242,0.017520455710926534
334,83,84,-0.7399058808174596,-0.07257598355102308,0.6582616475828929,-1.3882306486479983,-0.1700627322752376,-1.5789174433718798,0.0414439795719595
335,83,85,-0.6412470895733832,-0.043120481797991994,0.7572625932784186,-1.2672697853061508,-0.2105795636095925,-1.085716658650643,0.05861774463450257
336,83,87,-0.6652171641758772,0.19967111795010317,0.7100944967288996,-1.1716280001908403,0.7225796594350472,-1.304828783088602,0.028631917778614478
337,83,152,-0.6100182082467636,0.09483033728440686,0.7789310937287055,-1.1064818884864858,0.421769461244224,-0.9204182696964051,0.04423253485884834
338,84,85,-0.6634828126931535,-0.18110081329010308,0.71602626445218,-1.1632136085967069,-0.6557632269705365,-1.2472189945789807,0.08405721481139464
339,84,86,-0.6656131437971896,-0.3209926783712256,0.6623235377120921,-0.8715403267554698,-1.019650806579518,-1.3677395069493765,0.021559272884862743
340,84,159,-0.8256375509469721,-0.23726118044552846,0.4992556902014536,-0.7615692104896509,-0.18019995442232303,-1.3463203455751016,0.062123746635903386
341,84,173,-0.7426589116512173,-0.3496355369645332,0.5580364087312448,-0.7168486377425838,-0.6861483259859047,-1.3825408016922252,0.02306588552525032
