primal_vertex_tag,dual_quadrangle_element_tag,primal_face_index
854,536,179
852,537,179
44,538,180
869,539,180
43,540,180
853,541,181
856,542,181
854,543,181
51,544,182
891,545,182
824,546,182
831,547,183
891,548,183
52,549,183
856,550,184
864,551,184
854,552,184
846,553,185
882,554,185
843,555,185
824,556,186
893,557,186
50,558,186
854,559,187
902,560,187
886,561,187
858,562,188
905,563,188
882,564,188
49,565,189
893,566,189
832,567,189
839,568,190
923,569,190
859,570,190
847,571,191
894,572,191
849,573,191
922,574,192
926,575,192
817,576,192
28,577,193
932,578,193
874,579,193
69,580,194
929,581,194
68,582,194
851,583,195
894,584,195
847,585,195
843,586,196
882,587,196
845,588,196
45,589,197
898,590,197
46,591,197
56,592,198
897,593,198
57,594,198
877,595,199
921,596,199
832,597,199
825,598,200
903,599,200
879,600,200
894,601,201
895,602,201
865,603,201
895,604,202
901,605,202
889,606,202
66,607,203
897,608,203
65,609,203
37,610,204
898,611,204
36,612,204
881,613,205
917,614,205
834,615,205
54,616,206
904,617,206
53,618,206
900,619,207
929,620,207
69,621,207
47,622,208
909,623,208
834,624,208
887,625,209
911,626,209
29,627,209
896,628,210
907,629,210
864,630,210
54,631,211
912,632,211
55,633,211
833,634,212
908,635,212
873,636,212
36,637,213
898,638,213
45,639,213
57,640,214
897,641,214
66,642,214
894,643,215
901,644,215
895,645,215
878,646,216
902,647,216
823,648,216
58,649,217
924,650,217
4,651,217
851,652,218
933,653,218
883,654,218
851,655,219
901,656,219
894,657,219
1,658,220
925,659,220
44,660,220
4,661,221
924,662,221
77,663,221
844,664,222
933,665,222
851,666,222
25,667,223
925,668,223
1,669,223
864,670,224
902,671,224
854,672,224
857,673,225
915,674,225
905,675,225
853,676,226
916,677,226
856,678,226
74,679,227
937,680,227
838,681,227
911,682,228
932,683,228
28,684,228
53,685,229
904,686,229
831,687,229
55,688,230
930,689,230
54,690,230
834,691,231
917,692,231
48,693,231
49,694,232
917,695,232
821,696,232
75,697,233
937,698,233
74,699,233
898,700,234
909,701,234
46,702,234
34,703,235
906,704,235
33,705,235
906,706,236
921,707,236
877,708,236
878,709,237
924,710,237
830,711,237
892,712,238
922,713,238
858,714,238
859,715,239
923,716,239
904,717,239
900,718,240
930,719,240
55,720,240
882,721,241
905,722,241
855,723,241
46,724,242
909,725,242
47,726,242
862,727,243
919,728,243
881,729,243
832,730,244
921,731,244
48,732,244
29,733,245
911,734,245
28,735,245
915,736,246
916,737,246
855,738,246
77,739,247
924,740,247
878,741,247
840,742,248
933,743,248
841,744,248
869,745,249
925,746,249
879,747,249
55,748,250
912,749,250
908,750,250
837,751,251
911,752,251
887,753,251
879,754,252
925,755,252
25,756,252
827,757,253
